45 272 46
46 272 59
47 272 77
48 271 102
49 270 136
50 269 178
51 267 223
52 265 259
58 259 265
59 258 255
60 257 240
61 256 227
65 249 210
66 248 217
67 246 226
68 244 241
69 242 255
70 239 267
79 229 273
