0 293 270
0 390 258
1 294 270
1 390 259
2 294 270
2 390 259
3 294 270
3 390 258
4 294 270
4 390 257
5 295 271
5 390 258
6 296 272
6 390 258
7 298 273
7 390 258
8 301 274
8 389 257
9 303 274
9 390 258
10 305 274
10 390 259
11 305 274
11 390 258
12 301 271
12 389 258
13 294 266
13 391 258
14 284 250
14 391 256
15 392 257
15 270 221
16 392 257
16 261 183
17 392 259
17 255 140
18 391 255
18 250 101
19 391 255
19 245 66
20 390 254
20 241 37
21 389 255
21 236 14
22 390 256
23 388 254
24 389 253
25 388 254
26 384 254
27 385 253
28 390 253
29 390 253
30 390 254
31 384 254
32 389 254
33 389 253
33 172 7
34 388 253
34 165 20
35 389 254
35 157 52
36 383 254
36 149 90
37 388 254
37 142 136
38 387 254
38 137 187
39 388 253
39 134 238
40 133 276
40 388 254
41 388 255
42 388 254
43 388 254
44 388 253
45 101 276
45 387 254
46 387 254
47 383 254
48 388 254
49 388 253
50 388 254
51 383 254
52 388 254
53 388 253
54 388 253
55 388 253
56 387 255
57 388 254
58 388 254
59 388 254
60 387 254
61 383 254
62 386 254
63 388 254
64 388 254
65 387 254
66 386 255
67 388 254
68 386 254
69 386 254
70 386 254
71 384 255
72 387 254
73 388 254
74 386 253
75 384 253
76 383 254
77 386 253
78 387 252
79 384 253
80 383 254
81 383 254
82 382 254
83 404 276
83 384 253
84 384 253
85 383 253
86 383 252
87 383 251
